Day,Gut,Villi,Set,N_-7,N_-8
1,H1,High,1,30,3
1,H2,High,1,23,0
1,N1,No,1,26,5
1,N2,No,1,75,4
2,H1,High,1,82,5
2,H2,High,1,57,2
2,N1,No,1,65,7
2,N2,No,1,51,3
3,H1,High,1,50,4
3,H2,High,1,56,2
3,N1,No,1,35,3
3,N2,No,1,43,5
4,H1,High,1,28,5
4,H2,High,1,35,2
4,N1,No,1,35,3
4,N2,No,1,39,7
5,H1,High,1,75,13
5,H2,High,1,84,5
5,N1,No,1,82,10
5,N2,No,1,105,9
6,H1,High,1,50,8
6,H2,High,1,31,3
6,N1,No,1,54,5
6,N2,No,1,48,4
7,H1,High,1,62,2
7,H2,High,1,7,4
7,N1,No,1,99,3
7,N2,No,1,96,4
8,H1,High,1,96,5
8,H2,High,1,20,6
8,N1,No,1,450,45
8,N2,No,1,330,33
9,H1,High,1,70,7
9,H2,High,1,35,0
9,N1,No,1,6,81
9,N2,No,1,764,50
10,H1,High,1,93,4
10,H2,High,1,28,8
10,N1,No,1,194,8
10,N2,No,1,666,66
11,H1,High,1,52,9
11,H2,High,1,24,4
11,N1,No,1,716,83
11,N2,No,1,486,21
12,H1,High,1,43,2
12,H2,High,1,53,6
12,N1,No,1,579,42
12,N2,No,1,996,28
13,H1,High,1,49,1
13,H2,High,1,68,2
13,N1,No,1,319,95
13,N2,No,1,438,99
14,H1,High,1,11,4
14,H2,High,1,68,8
14,N1,No,1,181,38
14,N2,No,1,583,90
